word,gender,idf,meanfreq,has_a,has_e,has_i,has_o,has_u,has_y
"continentia1","f","1.71802403051275","1.4528985507246377",1,1,1,1,0,0
"contio1","f","1.05836416251399","14.385321100917432",0,0,1,1,0,0
"contubernalis1","m","2.96856749216334","2.413793103448276",1,1,1,1,1,0
"contumelia1","f","1.09862803272772","4.915094339622642",1,1,1,1,1,0
"conubium1","n","1.9196578916824","3.85",0,0,1,1,1,0
"convallis1","f","2.87235217690404","2.4516129032258065",1,0,1,1,0,0
"conventus2","m","1.33469539096124","1.8",0,1,0,1,1,0
"convicium1","n","1.54114626842867","2.1346153846153846",0,0,1,1,1,0
"convictus2","m","2.36711686865362","1.0909090909090908",0,0,1,1,1,0
"conviva1","f","1.76045929683314","2.9402985074626864",1,0,1,1,0,0
"convivium1","n","0.760459296833143","5.656716417910448",0,0,1,1,1,0
"copia1","f","0.367116868653618","18.693181818181817",1,0,1,1,0,0
"cor1","n","0.718024030512746","6.706521739130435",0,0,0,1,0,0
"corbita1","f","5.82654848729092","1.25",1,0,1,1,0,0
"corium1","n","2.12610876914982","3.8076923076923075",0,0,1,1,1,0
"cornu1","n","0.771266051789726","7.323308270676692",0,0,0,1,1,0
"cornus1","f","0.90768525001632","4.628099173553717",0,0,0,1,1,0
"corona1","f","0.749732890240084","5.507407407407407",1,0,0,1,0,0
"corpus1","n","0.234091450022835","43.233160621761655",0,0,0,1,1,0
"cortex1","m","2.27195963561328","9.680851063829786",0,1,0,1,0,0
"costa1","f","2.9196578916824","3.3666666666666667",1,0,0,1,0,0
"cratera1","f","2.96856749216334","2.3448275862068964",1,1,0,0,0,0
"cratis1","f","2.18269229751619","2.27",1,0,1,0,0,0
"creditum1","n","0.919657891682396","2.134722222222222",0,1,1,0,1,0
"crepido1","f","3.24158598656976","1.625",0,1,1,1,0,0
"creta1","f","1.50462039240355","1.5483333333333325",1,1,0,0,0,0
"crimen1","n","0.522767739113812","13.455696202531646",0,1,1,0,0,0
"crinis1","m","1.52276773911381","6.30379746835443",0,0,1,0,0,0
"cruciatus2","m","1.50462039240355","1.1479166666666663",1,0,1,0,1,0
"crus1","n","1.46899648267283","5.7682926829268295",0,0,0,0,1,0
